epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.5206,1.3289,1.83545,1.21778,0.94371,0.86042,0.93151,0.54547,1.34007,1.36258,1.26098,0.00066464,0.00066464,0.00066464
2,162.93,1.34864,1.1134,1.224,0.898,0.89861,0.94505,0.55849,1.28661,0.99017,1.25914,0.00132032,0.00132032,0.00132032
3,240.977,1.33938,0.98059,1.24376,0.93869,0.88251,0.92931,0.57787,1.27338,0.87444,1.23622,0.00196501,0.00196501,0.00196501
4,318.765,1.3012,0.90634,1.21828,0.92524,0.8875,0.94896,0.59695,1.26018,0.92266,1.2613,0.0019505,0.0019505,0.0019505
5,396.782,1.26466,0.85158,1.19417,0.96104,0.94444,0.97806,0.64734,1.15372,0.64696,1.15917,0.001934,0.001934,0.001934
6,474.943,1.2334,0.78822,1.18662,0.97218,0.94654,0.97816,0.656,1.13211,0.63753,1.16354,0.0019175,0.0019175,0.0019175
7,553.011,1.20211,0.76037,1.16933,0.96066,0.96319,0.97962,0.63522,1.16719,0.67182,1.14432,0.001901,0.001901,0.001901
8,630.882,1.19485,0.74996,1.17011,0.97799,0.94792,0.98448,0.67906,1.11418,0.61563,1.11783,0.0018845,0.0018845,0.0018845
9,709.675,1.18182,0.72249,1.16627,0.96517,0.96206,0.97988,0.67869,1.09109,0.60521,1.12537,0.001868,0.001868,0.001868
10,787.687,1.14801,0.68912,1.1424,0.9681,0.96181,0.98012,0.6842,1.11284,0.59455,1.11284,0.0018515,0.0018515,0.0018515
11,865.665,1.14139,0.68758,1.14057,0.97977,0.95972,0.98046,0.68712,1.05799,0.57552,1.09478,0.001835,0.001835,0.001835
12,943.225,1.13361,0.6683,1.13918,0.97787,0.96597,0.98362,0.68753,1.07764,0.57544,1.11342,0.0018185,0.0018185,0.0018185
13,1020.9,1.0941,0.65281,1.12025,0.97391,0.95897,0.98094,0.6946,1.07584,0.54944,1.12269,0.001802,0.001802,0.001802
14,1098.21,1.10466,0.64987,1.1242,0.95591,0.97292,0.98515,0.69095,1.04328,0.56592,1.08798,0.0017855,0.0017855,0.0017855
15,1175.63,1.09588,0.6372,1.11958,0.98231,0.97083,0.98404,0.70493,1.01572,0.55617,1.06858,0.001769,0.001769,0.001769
16,1253.06,1.07005,0.62906,1.10717,0.98066,0.96875,0.98574,0.71383,1.01938,0.52866,1.08049,0.0017525,0.0017525,0.0017525
17,1330.38,1.07479,0.63467,1.10907,0.98114,0.95903,0.98368,0.69913,1.03455,0.53002,1.06889,0.001736,0.001736,0.001736
18,1407.64,1.05866,0.62085,1.10207,0.98247,0.97317,0.98416,0.69958,1.04263,0.50949,1.08124,0.0017195,0.0017195,0.0017195
19,1484.98,1.06095,0.60699,1.09952,0.97984,0.97292,0.98464,0.71348,1.02798,0.50949,1.07618,0.001703,0.001703,0.001703
20,1562.41,1.04635,0.59757,1.09982,0.98003,0.96736,0.98714,0.7087,1.03961,0.50487,1.07332,0.0016865,0.0016865,0.0016865
21,1639.68,1.06041,0.59725,1.1016,0.97905,0.97349,0.99034,0.72527,0.99748,0.47701,1.05482,0.00167,0.00167,0.00167
22,1717.06,1.0436,0.59074,1.09119,0.98248,0.97083,0.98953,0.72256,1.01681,0.47862,1.06495,0.0016535,0.0016535,0.0016535
23,1794.36,1.0462,0.58378,1.09544,0.97732,0.97431,0.99002,0.72794,0.98584,0.49271,1.05693,0.001637,0.001637,0.001637
24,1871.59,1.0373,0.57545,1.09005,0.98858,0.97222,0.99096,0.71696,0.99217,0.48084,1.05847,0.0016205,0.0016205,0.0016205
25,1948.93,1.04788,0.58597,1.09532,0.98218,0.97083,0.98369,0.72312,0.99762,0.47649,1.05053,0.001604,0.001604,0.001604
26,2026.16,1.02061,0.56484,1.08618,0.98038,0.97778,0.99247,0.73395,0.99029,0.45199,1.05105,0.0015875,0.0015875,0.0015875
27,2103.52,1.00867,0.54842,1.07466,0.97912,0.97685,0.98812,0.73161,0.99197,0.46295,1.05792,0.001571,0.001571,0.001571
28,2180.7,1.02375,0.55351,1.08171,0.9853,0.97767,0.99113,0.73825,0.98636,0.44671,1.05361,0.0015545,0.0015545,0.0015545
29,2257.88,1.02056,0.55064,1.08773,0.9823,0.97917,0.99071,0.73496,0.99182,0.45402,1.05151,0.001538,0.001538,0.001538
30,2335.13,1.01348,0.54527,1.08294,0.98127,0.98212,0.99185,0.75319,0.96192,0.43427,1.04862,0.0015215,0.0015215,0.0015215
31,2412.37,1.01538,0.54876,1.07909,0.98949,0.97778,0.99223,0.73849,0.98131,0.44314,1.05948,0.001505,0.001505,0.001505
32,2489.47,0.99957,0.54355,1.07914,0.98815,0.97153,0.99046,0.74484,0.96999,0.4426,1.04773,0.0014885,0.0014885,0.0014885
33,2566.6,1.00047,0.53793,1.07457,0.98533,0.97946,0.99189,0.7454,0.96721,0.44283,1.04627,0.001472,0.001472,0.001472
34,2643.96,1.00154,0.53964,1.0741,0.98595,0.97456,0.98563,0.73619,0.95801,0.44035,1.04835,0.0014555,0.0014555,0.0014555
35,2721.12,0.99637,0.53599,1.07255,0.98318,0.97443,0.98863,0.73904,0.96443,0.43899,1.04688,0.001439,0.001439,0.001439
36,2798.4,0.99152,0.52763,1.06952,0.99152,0.97441,0.99342,0.74415,0.97969,0.43349,1.06099,0.0014225,0.0014225,0.0014225
37,2875.65,0.97569,0.53004,1.06618,0.98315,0.97917,0.99093,0.75197,0.92427,0.42506,1.03328,0.001406,0.001406,0.001406
38,2952.82,0.99094,0.54334,1.07712,0.98871,0.97847,0.99179,0.76015,0.93076,0.4074,1.03747,0.0013895,0.0013895,0.0013895
39,3030.04,0.97,0.51363,1.06189,0.9859,0.97847,0.9884,0.74665,0.94411,0.41369,1.04093,0.001373,0.001373,0.001373
40,3107.36,0.95892,0.50822,1.05474,0.98122,0.97985,0.99196,0.7595,0.94325,0.41404,1.03836,0.0013565,0.0013565,0.0013565
41,3184.59,0.9615,0.51914,1.05764,0.98751,0.97778,0.99192,0.75212,0.93902,0.42311,1.02649,0.00134,0.00134,0.00134
42,3261.71,0.95293,0.5035,1.05495,0.98807,0.97753,0.99124,0.76266,0.93611,0.41442,1.03147,0.0013235,0.0013235,0.0013235
43,3338.83,0.94695,0.4976,1.05421,0.98876,0.97731,0.99248,0.76843,0.92657,0.40842,1.02191,0.001307,0.001307,0.001307
44,3416,0.94961,0.50175,1.05018,0.98869,0.97778,0.9899,0.76433,0.92381,0.40234,1.02234,0.0012905,0.0012905,0.0012905
45,3493.06,0.95086,0.50118,1.05147,0.9881,0.97985,0.99104,0.76764,0.91705,0.40243,1.01663,0.001274,0.001274,0.001274
46,3570.15,0.94396,0.48887,1.04189,0.98435,0.97847,0.98985,0.77031,0.91818,0.40306,1.00889,0.0012575,0.0012575,0.0012575
47,3647.29,0.94444,0.49455,1.04877,0.99017,0.97932,0.99159,0.76523,0.91054,0.39879,1.0209,0.001241,0.001241,0.001241
48,3724.39,0.94438,0.49183,1.05218,0.99231,0.97708,0.99355,0.7678,0.91047,0.39582,1.01874,0.0012245,0.0012245,0.0012245
49,3801.47,0.93408,0.49267,1.04715,0.99125,0.97639,0.98893,0.76673,0.91127,0.40423,1.02235,0.001208,0.001208,0.001208
50,3878.61,0.93367,0.48349,1.04886,0.99115,0.975,0.992,0.76883,0.91387,0.395,1.01784,0.0011915,0.0011915,0.0011915
51,3955.79,0.93029,0.48562,1.04356,0.98811,0.98194,0.9916,0.76764,0.9141,0.40229,1.01687,0.001175,0.001175,0.001175
52,4032.91,0.93001,0.48422,1.04231,0.98606,0.98245,0.99057,0.7687,0.92299,0.38818,1.02277,0.0011585,0.0011585,0.0011585
53,4110.08,0.93186,0.48192,1.04613,0.99184,0.97917,0.99284,0.77228,0.90796,0.3881,1.01893,0.001142,0.001142,0.001142
54,4187.26,0.92911,0.4849,1.04537,0.99099,0.97917,0.9928,0.77618,0.90433,0.39011,1.01477,0.0011255,0.0011255,0.0011255
55,4264.39,0.92053,0.47684,1.03882,0.9859,0.98333,0.99213,0.76636,0.912,0.38801,1.01867,0.001109,0.001109,0.001109
56,4341.46,0.91717,0.46744,1.03827,0.99016,0.97835,0.99145,0.77034,0.90063,0.38251,1.01435,0.0010925,0.0010925,0.0010925
57,4418.63,0.90952,0.47213,1.03549,0.99141,0.97847,0.99352,0.77361,0.90451,0.38394,1.01277,0.001076,0.001076,0.001076
58,4495.74,0.89871,0.46634,1.02985,0.99157,0.97999,0.99325,0.77159,0.89935,0.38171,1.00788,0.0010595,0.0010595,0.0010595
59,4572.82,0.90149,0.46327,1.02501,0.99202,0.98125,0.99038,0.76464,0.89974,0.38367,1.01571,0.001043,0.001043,0.001043
60,4649.89,0.90788,0.46612,1.03367,0.98834,0.98056,0.99252,0.76945,0.88912,0.38029,1.00929,0.0010265,0.0010265,0.0010265
61,4727.03,0.91246,0.46717,1.0268,0.99296,0.98018,0.99359,0.77838,0.89284,0.37705,1.00427,0.00101,0.00101,0.00101
62,4804.1,0.8881,0.45395,1.02401,0.99342,0.97986,0.99365,0.7789,0.88747,0.37306,1.0047,0.0009935,0.0009935,0.0009935
63,4881.43,0.89723,0.4585,1.02892,0.99261,0.97917,0.99283,0.7724,0.88868,0.37448,1.00589,0.000977,0.000977,0.000977
64,4958.54,0.89136,0.45733,1.02272,0.99016,0.9784,0.99284,0.77586,0.89098,0.37352,1.00367,0.0009605,0.0009605,0.0009605
65,5035.68,0.89932,0.45734,1.02525,0.99085,0.97757,0.99056,0.78092,0.87739,0.37005,0.99866,0.000944,0.000944,0.000944
66,5112.79,0.88503,0.451,1.02509,0.99228,0.975,0.99124,0.77989,0.88145,0.37167,0.9991,0.0009275,0.0009275,0.0009275
67,5189.97,0.87562,0.45466,1.0175,0.99087,0.97981,0.99271,0.78469,0.87762,0.36595,0.99566,0.000911,0.000911,0.000911
68,5267.13,0.88117,0.44642,1.02078,0.98672,0.98472,0.99274,0.78554,0.87642,0.36472,0.99745,0.0008945,0.0008945,0.0008945
69,5344.37,0.88835,0.45228,1.02466,0.99019,0.98145,0.99315,0.7811,0.87884,0.36572,0.99938,0.000878,0.000878,0.000878
70,5421.37,0.86975,0.43426,1.01513,0.98851,0.98125,0.99291,0.79273,0.86549,0.35851,0.99115,0.0008615,0.0008615,0.0008615
71,5498.46,0.87727,0.43455,1.01394,0.99015,0.98194,0.99271,0.78397,0.87185,0.36329,0.99564,0.000845,0.000845,0.000845
72,5575.55,0.87566,0.44018,1.01661,0.99433,0.97917,0.99366,0.78601,0.87362,0.35993,1.00072,0.0008285,0.0008285,0.0008285
73,5652.59,0.86956,0.43864,1.01537,0.99069,0.98056,0.9932,0.78423,0.87361,0.36112,1.0003,0.000812,0.000812,0.000812
74,5729.69,0.86015,0.43436,1.01449,0.9908,0.98264,0.99356,0.7841,0.86843,0.359,0.99428,0.0007955,0.0007955,0.0007955
75,5806.89,0.87458,0.43671,1.01872,0.99339,0.98056,0.99353,0.78655,0.85678,0.35408,0.99072,0.000779,0.000779,0.000779
76,5883.99,0.85456,0.42651,1.01039,0.99088,0.98107,0.99353,0.78592,0.86194,0.35302,0.98809,0.0007625,0.0007625,0.0007625
77,5961.07,0.85632,0.4279,1.00696,0.99086,0.97824,0.99275,0.78674,0.87422,0.35401,0.9904,0.000746,0.000746,0.000746
78,6038.13,0.86085,0.42961,1.01186,0.99277,0.98056,0.99295,0.78971,0.86534,0.35409,0.99163,0.0007295,0.0007295,0.0007295
79,6115.35,0.84777,0.42211,1.00299,0.99296,0.9798,0.99209,0.78417,0.86929,0.35275,0.98805,0.000713,0.000713,0.000713
80,6192.55,0.84372,0.42554,1.0047,0.99437,0.98126,0.99384,0.78906,0.85542,0.34811,0.98589,0.0006965,0.0006965,0.0006965
